
====================================================================================================
WINDOW since 09-22 13:30Z: 358 closed trades/settlements
fees paid on fills by book (both legs): {'alpaca-paper': 10.28, 'kalshi-shadow': 25.55, 'kalshi': 0.2, 'alpaca': 0.03}

### by book: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
kalshi-shadow | -361.25 | 150 | -2.408 | -26.92 | 24 | 1925
alpaca-paper | -101.28 | 152 | -0.666 | -15.41 | 20 | 4988
alpaca | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
kalshi | +0.93 | 11 | +0.085 | +0.00 | 0 | 90

### by book x desk: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'kalshi-crypto-strikes') | -153.82 | 12 | -12.818 | +0.00 | 0 | 265
('kalshi-shadow', 'kalshi-crypto-15m') | -108.54 | 48 | -2.261 | +0.00 | 0 | 528
('kalshi-shadow', 'kalshi-sports') | -59.03 | 50 | -1.181 | -12.02 | 14 | 659
('alpaca-paper', 'alpaca-options') | -44.00 | 9 | -4.889 | -20.00 | 7 | 275
('alpaca-paper', 'alpaca-crypto-alts') | -50.36 | 106 | -0.475 | +5.06 | 5 | 3610
('kalshi-shadow', 'kalshi-prices') | -13.70 | 16 | -0.856 | -16.90 | 7 | 221
('kalshi-shadow', 'kalshi-sports-props') | -26.58 | 6 | -4.430 | +0.00 | 0 | 57
('alpaca-paper', 'alpaca-crypto-majors') | -6.22 | 6 | -1.037 | +0.00 | 0 | 253
('kalshi', 'kalshi-crypto-15m') | -4.07 | 2 | -2.033 | +0.00 | 0 | 4
('alpaca-paper', 'alpaca-index-etfs') | -1.21 | 11 | -0.110 | -0.47 | 8 | 389
('alpaca', 'alpaca-crypto-alts') | -0.51 | 1 | -0.505 | +0.00 | 0 | 12
('alpaca-paper', 'alpaca-megacaps') | +0.51 | 20 | +0.025 | +0.00 | 0 | 461
('kalshi-shadow', 'kalshi-weather') | +0.42 | 18 | +0.023 | +2.00 | 3 | 197
('kalshi', 'kalshi-weather') | +5.00 | 9 | +0.556 | +0.00 | 0 | 86

### by book x family: key | agent P&L $ | n | per trade $ | House-exit P&L $ | n_house | notional $
('kalshi-shadow', 'crypto-strikes-downside-insurance-s') | -93.45 | 9 | -10.383 | +0.00 | 0 | 204
('alpaca-paper', 'options-pullback') | -44.00 | 9 | -4.889 | -21.00 | 6 | 254
('kalshi-shadow', 'crypto-strikes-vol-shock-upside') | -60.37 | 3 | -20.123 | +0.00 | 0 | 60
('alpaca-paper', 'crypto-alts-reversion') | -39.44 | 101 | -0.391 | +0.31 | 3 | 3323
('kalshi-shadow', 'sports-favorites') | -21.71 | 27 | -0.804 | -12.02 | 14 | 394
('kalshi-shadow', 'prices-favorites') | -13.70 | 16 | -0.856 | -16.90 | 7 | 221
('kalshi-shadow', 'sports-runline-leverage-tax') | -29.12 | 7 | -4.160 | +0.00 | 0 | 89
('kalshi-shadow', 'crypto-15m-doge-flat-spot-no') | -27.88 | 10 | -2.788 | +0.00 | 0 | 58
('kalshi-shadow', 'crypto-15m-eth-prior-window-fad') | -27.77 | 21 | -1.323 | +0.00 | 0 | 164
('kalshi-shadow', 'sports-props-favorites') | -26.58 | 6 | -4.430 | +0.00 | 0 | 57
('kalshi-shadow', 'crypto-15m-sol-beta-catchup') | -21.60 | 1 | -21.600 | +0.00 | 0 | 22
('kalshi-shadow', 'sports-central-under-demand') | -15.39 | 9 | -1.710 | +0.00 | 0 | 103
