promotions to rung 2: 10
agent | desk | promoted | Wp@promo | E@promo | practice log before promo (active blocks) | real closed now | real P&L | W_real after 1 / 3 / 5 / all trades | W_real last board | outcome
huang-6 | kalshi-crypto-15m | 09-21T14:50 | 0.9854 | 0.9927 | -0.0147 (5) | 7 | $+0.33 | 0.9978 / 1.2764 / 1.2310 / 1.0132 (cum P&L / first stake $25) | board None | died
mullins-2 | kalshi-weather | 09-21T22:37 | 1.0144 | 1.0072 | +0.0143 (2) | 10 | $+4.89 | 1.0160 / 1.0356 / 1.0676 / 1.1956 (cum P&L / first stake $25) | board 1.157835 | on real
mullins-6 | kalshi-weather | 09-23T00:03 | 1.0225 | 1.0112 | +0.0223 (2) | 2 | $+1.00 | 1.0050 / 1.0167 / 1.0167 / 1.0167 (cum P&L / first stake $60) | board 1.038333 | on real
meriwether-35 | kalshi-sports | 09-23T01:38 | 1.0002 | 1.0001 | +0.0002 (1) | 0 | $+0.00 | 1.0000 / 1.0000 / 1.0000 / 1.0000 (cum P&L / first stake $60) | board 1.0 | died
hawkins-19 | kalshi-prices | 09-23T01:38 | 1.006 | 1.003 | +0.0060 (1) | 0 | $+0.00 | 1.0000 / 1.0000 / 1.0000 / 1.0000 (cum P&L / first stake $60) | board 0.992 | on real
meriwether-h2d625d | kalshi-sports | 09-23T04:52 | 1.0028 | 1.0014 | +0.0028 (1) | 0 | $+0.00 | 1.0000 / 1.0000 / 1.0000 / 1.0000 (cum P&L / first stake $60) | board 0.995325 | demoted
haghani-37 | alpaca-crypto-alts | 09-23T08:06 | 1.0025 | 1.0013 | +0.0025 (3) | 1 | $-0.51 | 0.9916 / 0.9916 / 0.9916 / 0.9916 (cum P&L / first stake $60) | board 0.979799 | demoted
huang-h51fdd3-2 | kalshi-crypto-15m | 09-23T12:10 | 1.052 | 1.0257 | +0.0507 (3) | 1 | $-1.52 | 0.8480 / 0.8480 / 0.8480 / 0.8480 (cum P&L / first stake $10) | board 0.848 | on real
meriwether-h2d625d | kalshi-sports | 09-23T12:50 | 1.0028 | 1.0014 | +0.0028 (1) | 0 | $+0.00 | 1.0000 / 1.0000 / 1.0000 / 1.0000 (cum P&L / first stake $60) | board 0.995325 | on real
huang-h427345 | kalshi-crypto-15m | 09-23T13:35 | 1.0015 | 1.0007 | +0.0015 (5) | 1 | $-2.55 | 0.7454 / 0.7454 / 0.7454 / 0.7454 (cum P&L / first stake $10) | board 0.7454 | demoted
